Алтайский край,ALT
Амурская область,AMU
Архангельская область,ARK
Астраханская область,AST
Белгородская область,BEL
Брянская область,BRY
Владимирская область,VLA
Волгоградская область,VGG
Вологодская область,VLG
Воронежская область,VOR
Еврейская автономная область,YEV
Забайкальский край,ZAB
Ивановская область,IVA
Иркутская область,IRK
Кабардино-Балкарская Республика,KB
Калининградская область,KGD
Калужская область,KLU
Камчатский край,KAM
Карачаево-Черкесская Республика,KC
Кемеровская область,KEM
Кировская область,KIR
Костромская область,KOS
Краснодарский край,KDA
Красноярский край,KYA
Курганская область,KGN
Курская область,KRS
Ленинградская область,LEN
Липецкая область,LIP
Магаданская область,MAG
Москва,MOW
Московская область,MOS
Мурманская область,MUR
Ненецкий автономный округ,NEN
Нижегородская область,NIZ
Новгородская область,NGR
Новосибирская область,NVS
Омская область,OMS
Оренбургская область,ORE
Орловская область,ORL
Пензенская область,PNZ
Пермский край,PER
Приморский край,PRI
Псковская область,PSK
Республика Адыгея,AD
Республика Алтай,GA
Республика Башкортостан,BA
Республика Бурятия,BU
Республика Дагестан,DA
Республика Ингушетия,IN
Республика Калмыкия,KL
Республика Карелия,KR
Республика Коми,KO
Республика Крым,CR
Республика Марий Эл,ME
Республика Мордовия,MO
Республика Саха (Якутия),SA
Республика Северная Осетия - Алания,SE
Республика Татарстан,TT
Республика Тыва,TY
Республика Хакасия,KK
Республика Чувашия,CU
Ростовская область,ROS
Рязанская область,RYA
Самарская область,SAM
Санкт-Петербург,SPE
Саратовская область,SAR
Сахалинская область,SAK
Свердловская область,SVE
Севастополь,SEV
Смоленская область,SMO
Ставропольский край,STA
Тамбовская область,TAM
Тверская область,TVE
Томская область,TOM
Тульская область,TUL
Тюменская область,TYU
Удмуртская Республика,UD
Ульяновская область,ULY
Хабаровский край,KHA
Ханты-Мансийский автономный округ,KHM
Челябинская область,CHE
Чеченская Республика,CE
Чукотский автономный округ,CHU
Ямало-Ненецкий автономный округ,YAN
Ярославская область,YAR
