date,sick,healed,died,region,code
2020-06-27,3753,2697,31,Алтайский край,ALT
2020-06-26,3676,2677,30,Алтайский край,ALT
2020-06-25,3600,2594,29,Алтайский край,ALT
2020-06-24,3522,2540,29,Алтайский край,ALT
2020-06-23,3445,2470,29,Алтайский край,ALT
2020-06-22,3371,2359,27,Алтайский край,ALT
2020-06-21,3298,2309,27,Алтайский край,ALT
2020-06-20,3226,2292,25,Алтайский край,ALT
2020-06-19,3153,2210,24,Алтайский край,ALT
2020-06-18,3078,2102,24,Алтайский край,ALT
2020-06-17,3010,1992,22,Алтайский край,ALT
2020-06-16,2939,1892,21,Алтайский край,ALT
2020-06-15,2867,1715,19,Алтайский край,ALT
2020-06-14,2795,1667,19,Алтайский край,ALT
2020-06-13,2726,1607,19,Алтайский край,ALT
2020-06-12,2659,1569,19,Алтайский край,ALT
2020-06-11,2593,1407,19,Алтайский край,ALT
2020-06-10,2524,1314,16,Алтайский край,ALT
2020-06-09,2458,1197,15,Алтайский край,ALT
2020-06-08,2390,1107,14,Алтайский край,ALT
2020-06-07,2319,1096,14,Алтайский край,ALT
2020-06-06,2255,1061,14,Алтайский край,ALT
2020-06-05,2192,966,13,Алтайский край,ALT
2020-06-04,2135,899,12,Алтайский край,ALT
2020-06-03,2066,866,12,Алтайский край,ALT
2020-06-02,1985,833,12,Алтайский край,ALT
2020-06-01,1915,805,12,Алтайский край,ALT
2020-05-31,1848,787,12,Алтайский край,ALT
2020-05-30,1779,767,12,Алтайский край,ALT
2020-05-29,1708,732,12,Алтайский край,ALT
2020-06-27,1610,690,9,Амурская область,AMU
2020-06-26,1572,667,9,Амурская область,AMU
2020-06-25,1528,609,9,Амурская область,AMU
2020-06-24,1490,597,7,Амурская область,AMU
2020-06-23,1444,575,7,Амурская область,AMU
2020-06-22,1399,540,7,Амурская область,AMU
2020-06-21,1340,520,7,Амурская область,AMU
2020-06-20,1283,515,7,Амурская область,AMU
2020-06-19,1230,491,7,Амурская область,AMU
2020-06-18,1181,480,7,Амурская область,AMU
2020-06-17,1138,449,7,Амурская область,AMU
2020-06-16,1100,409,6,Амурская область,AMU
2020-06-15,1062,371,6,Амурская область,AMU
2020-06-14,1018,359,6,Амурская область,AMU
2020-06-13,973,350,5,Амурская область,AMU
2020-06-12,914,345,5,Амурская область,AMU
2020-06-11,873,325,5,Амурская область,AMU
2020-06-10,835,296,5,Амурская область,AMU
2020-06-09,796,261,5,Амурская область,AMU
2020-06-08,748,252,5,Амурская область,AMU
2020-06-07,702,252,5,Амурская область,AMU
2020-06-06,657,249,5,Амурская область,AMU
2020-06-05,615,228,5,Амурская область,AMU
2020-06-04,588,216,5,Амурская область,AMU
2020-06-03,566,198,5,Амурская область,AMU
2020-06-02,546,188,5,Амурская область,AMU
2020-06-01,528,167,5,Амурская область,AMU
2020-05-31,506,163,5,Амурская область,AMU
2020-05-30,486,161,5,Амурская область,AMU
2020-05-29,461,151,5,Амурская область,AMU
2020-06-27,5225,2463,50,Архангельская область,ARK
2020-06-26,5107,2383,39,Архангельская область,ARK
2020-06-25,4992,2295,37,Архангельская область,ARK
2020-06-24,4875,2178,35,Архангельская область,ARK
2020-06-23,4755,1996,33,Архангельская область,ARK
2020-06-22,4631,1792,32,Архангельская область,ARK
2020-06-21,4524,1745,30,Архангельская область,ARK
2020-06-20,4395,1660,27,Архангельская область,ARK
2020-06-19,4274,1512,27,Архангельская область,ARK
2020-06-18,4156,1393,25,Архангельская область,ARK
2020-06-17,4035,1296,19,Архангельская область,ARK
2020-06-16,3912,1188,19,Архангельская область,ARK
2020-06-15,3803,1068,19,Архангельская область,ARK
2020-06-14,3696,1054,19,Архангельская область,ARK
2020-06-13,3587,1043,16,Архангельская область,ARK
