date,daily cases,discharges,deaths,severe,ventilation,tests,confirmed tests,suspected tests,MZ tests,males,females,covid suspected,covid suspected - children,hospitalized,hospitalized - children,at home,observation,observation - total,observation - CoVID
01.04.2020,5,2,,,,10306,22,26,,2,3,494,89,202,62,4194,48,,
02.04.2020,0,2,,,,11329,22,32,,,,533,102,236,75,4847,61,,
03.04.2020,17,2,,,,12344,22,41,,8,9,555,106,239,79,4735,59,,
04.04.2020,0,,,,2,13573,39,27,,,,595,106,253,76,5187,64,,
05.04.2020,0,9,,,5,14769,39,32,,,,616,111,227,55,5634,73,,
06.04.2020,11,9,,,5,15928,50,,,6,5,640,113,247,58,5455,78,,
07.04.2020,11,15,1,,5,16686,61,44,4346,4,7,681,131,265,66,5327,78,,
08.04.2020,24,15,1,,4,17201,85,,,,,706,124,272,70,5417,103,,
09.04.2020,20,15,3,,4,18096,105,,,,,728,128,290,68,6260,166,,
10.04.2020,20,25,3,,5,18878,125,,,,,788,128,270,64,7547,151,,
11.04.2020,13,25,3,,6,19674,138,,,7,6,846,133,304,37,3450,176,,
12.04.2020,31,28,3,,7,20210,169,,,20,11,883,139,315,40,3653,171,,
13.04.2020,41,32,3,,6,20652,210,,11916,22,19,917,148,355,47,7566,164,,
14.04.2020,5,40,3,,8,20920,215,,13567,2,3,956,156,361,55,4025,211,,
15.04.2020,24,40,3,,11,21242,239,,15684,,,1028,168,424,67,3298,215,,
16.04.2020,21,48,3,,13,21624,260,,17804,,,1130,185,497,84,4226,217,,
17.04.2020,30,49,3,130,19,21942,290,,19799,15,15,1193,185,498,69,6638,205,,
18.04.2020,45,54,3,165,21,22494,335,,22051,,,1227,186,508,64,5967,191,,
19.04.2020,48,59,5,188,15,22976,383,,24018,23,25,1294,192,533,68,6469,246,,
20.04.2020,34,70,8,,17,23274,417,,26677,,,1365,202,583,73,9008,325,,
21.04.2020,44,72,11,,19,23400,461,,28452,20,24,2012,208,1193,71,6488,334,,
22.04.2020,20,88,11,,20,23728,481,,30980,9,11,2096,213,1188,70,6397,531,,
23.04.2020,58,104,16,,21,24183,539,,33749,26,32,2160,247,1212,95,7473,700,,
24.04.2020,84,118,18,,16,24621,623,,36157,,,2253,255,1210,94,8041,778,,
25.04.2020,84,122,18,291,16,25101,707,,38652,45,39,2321,273,1209,104,8484,868,,
26.04.2020,73,125,18,,21,25598,780,,40959,26,47,2398,292,1154,118,7019,916,,
27.04.2020,57,132,19,,20,25895,837,,41481,,,2501,303,1267,129,8741,1064,,
28.04.2020,51,145,19,,19,26053,888,,45185,26,25,2666,312,1267,116,8665,1156,,
29.04.2020,63,250,20,,23,26569,951,,48069,25,38,2795,387,1438,147,8381,1284,,
30.04.2020,66,251,20,,26,27053,1017,,51189,34,32,2907,415,1625,140,8404,1415,,
01.05.2020,66,277,20,,26,27350,1083,,54033,31,35,3032,449,1713,150,9426,1543,,
02.05.2020,79,319,20,,23,28088,1162,,56403,,,3726,,1713,,10067,1705,,
03.05.2020,82,372,20,,20,28506,1244,,58659,30,52,3923,,1889,,10437,1780,,
04.05.2020,96,409,21,,19,28899,1340,,60687,40,56,4081,492,2000,146,10023,1813,,
05.05.2020,97,443,21,,20,29237,1437,,62969,36,61,4296,504,2120,145,10119,1916,,
06.05.2020,97,467,21,,17,29728,1534,,65305,,,4452,517,2212,153,9458,1903,,
07.05.2020,99,523,21,,18,30104,1633,,67876,44,55,4576,553,2184,155,9370,1847,,
08.05.2020,99,554,21,,21,30701,1732,,70865,,,4783,577,2238,43,10370,1924,,
09.05.2020,98,595,21,,24,31517,1830,,74373,47,51,5008,602,2291,188,11411,1919,,
10.05.2020,99,628,22,,,32256,1929,,76780,48,51,5178,615,,,,1934,,
11.05.2020,98,662,22,,28,32677,2027,,79091,42,56,5333,627,2401,183,11885,1964,,
12.05.2020,99,697,22,,30,33309,2126,,81240,,,5531,645,2470,192,11324,2011,,
13.05.2020,96,741,22,,31,33945,2222,,84930,40,56,5739,658,2540,189,11561,1997,,
14.05.2020,97,858,24,,33,34585,2319,,88356,46,51,5917,676,2526,187,11890,1954,,
15.05.2020,99,979,24,,32,35482,2418,,92097,35,64,6121,684,2507,182,11841,2020,4069,35
16.05.2020,92,1139,24,,32,36240,2510,,94967,35,57,6462,698,2377,177,12633,2060,,35
17.05.2020,95,1261,25,,32,37022,2605,,97223,41,54,6602,711,2374,176,12666,2057,,35
18.05.2020,94,1323,26,,37,37748,2699,,98947,33,61,6730,724,2371,176,12472,2164,,37
19.05.2020,93,1361,26,,33,38300,2792,,101387,37,56,6951,736,2380,,12251,2199,,37
20.05.2020,91,1540,26,,37,39074,2883,,104142,36,55,7202,742,2271,168,12411,2225,,37
21.05.2020,91,1644,26,,41,39806,2974,,406793,,,7354,752,2131,166,12781,2394,5536,37
22.05.2020,92,1764,26,,38,40613,3066,,109006,33,59,7679,763,2127,161,12976,2441,5745,38
23.05.2020,89,1859,27,,38,41335,3155,,111886,42,47,8068,778,2211,166,13342,2429,,38
