date,daily cases,Abinsky,Anapa,Apsheronsky,Armavir,Beloglinsky,Belorechensky,Bryukhovetsky,Dinskoy,Gelendzhik,Goryachy Klyuch,Gulkevichsky,Kalininsky,Kanevskoy,Kavkazsky,Korenovsky,Krasnoarmeysky,Krasnodar,Krylovsky,Krymsky,Kurganinsky,Kushchyovsky,Labinsky,Leningradsky,Mostovsky,Novokubansky,Novopokrovsky,Novorossiysk,Otradnensky,Pavlovsky,Primorsko-Akhtarsky,Seversky,Shcherbinovsky,Slavyansky,Sochi,Starominsky,Tbilissky,Temryuksky,Tikhoretsky,Timashyovsky,Tuapsinsky,Uspensky,Ust-Labinsky,Vyselkovsky,Yeysky
01.04.2020,5,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,
02.04.2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.04.2020,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.04.2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.04.2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.04.2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.04.2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.04.2020,24,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,20,,,,
09.04.2020,20,,2,,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,11,,,,,,,,,,
10.04.2020,20,,,,,,,,,5,,,,,,2,,1,,,,,,,,,,,,,,,,,3,,,,,,8,1,,,
11.04.2020,13,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,4,,,,
12.04.2020,31,,3,,,,,,,,,,,,1,,,11,,,1,1,5,,,,,1,,,,,,,3,,,,2,1,1,,1,,
13.04.2020,41,,2,,,,,,,3,,,,,,12,,13,,,,1,4,,,,,,1,,,,,,3,,,,,,1,,,,1
14.04.2020,5,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,
15.04.2020,24,,,,,,,,1,,1,,,,,3,,12,,,,,,,,,,,,,,,,,4,,,,,1,1,,,,1
16.04.2020,21,,,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,1,1,,,,,,,,5
17.04.2020,30,,,,,,2,,1,,,,2,,,2,,19,,,,,,,,,,,,,1,,,,,1,,,,,,,,,2
18.04.2020,45,,,2,,,1,,,,1,,1,,,1,1,12,1,,,,,,,,,,1,,,,2,,9,,,,2,,2,,,1,8
19.04.2020,48,1,,,,,,,,,,,1,,,9,1,15,,,,,,1,,,,1,,,1,,2,1,5,2,,,,,2,,,,6
20.04.2020,34,,,1,,,1,,1,,,,,2,,,,18,,,2,,2,,,,,,,,,,,,1,,,,1,,1,,,1,3
21.04.2020,44,,,,,,,,,,,,1,,,1,1,20,,,,1,,,,,,,,,,,3,,4,1,,,2,1,,,,3,6
