Алтайский край,4709,3383,47
Амурская область,1917,978,16
Архангельская область,6419,3393,72
Астраханская область,3738,2414,35
Белгородская область,4906,4133,42
Брянская область,6563,4740,34
Владимирская область,4694,3300,80
Волгоградская область,6969,3420,45
Вологодская область,1749,1366,17
Воронежская область,8644,5302,47
Еврейская автономная область,446,365,6
Забайкальский край,3441,2422,44
Ивановская область,5168,3177,49
Иркутская область,8985,3756,76
Кабардино-Балкарская Республика,5343,4240,60
Калининградская область,2553,1706,40
Калужская область,6368,4123,48
Камчатский край,2514,1460,28
Карачаево-Черкесская Республика,3882,2002,15
Кемеровская область,2085,957,10
Кировская область,3512,3004,42
Костромская область,1730,1077,22
Краснодарский край,6399,5198,83
Красноярский край,9848,5421,172
Курганская область,1058,568,1
Курская область,5422,3573,41
Ленинградская область,4792,4211,34
Липецкая область,4026,2676,18
Магаданская область,947,534,4
Москва,226174,159718,3999
Московская область,59522,39191,965
Мурманская область,6196,3735,21
Ненецкий автономный округ,158,43,0
Нижегородская область,19024,12606,271
Новгородская область,3178,1030,28
Новосибирская область,6724,4300,120
Омская область,4202,2322,37
Оренбургская область,4339,3204,23
Орловская область,4795,3278,73
Пензенская область,5486,4957,52
Пермский край,4069,2976,86
Приморский край,4792,3135,54
Псковская область,3082,1474,31
Республика Адыгея,2145,1546,14
Республика Алтай,891,417,1
Республика Башкортостан,5686,3446,19
Республика Бурятия,3175,2289,22
Республика Дагестан,8232,6273,397
Республика Ингушетия,3185,2502,70
Республика Калмыкия,1947,1143,26
Республика Карелия,1531,701,3
Республика Коми,3866,2022,35
Республика Крым,761,581,11
Республика Марий Эл,3157,2864,24
Республика Мордовия,3646,2495,27
Республика Саха (Якутия),4550,3626,34
Республика Северная Осетия - Алания,4155,3601,67
Республика Татарстан,4823,3786,14
Республика Тыва,5156,1915,19
Республика Хакасия,2109,1532,18
Республика Чувашия,5521,3053,43
Ростовская область,10256,7068,146
Рязанская область,5469,4026,21
Самарская область,5501,3191,58
Санкт-Петербург,26094,20359,1437
Саратовская область,7135,3881,46
Сахалинская область,1035,385,0
Свердловская область,14529,8726,138
Севастополь,254,196,5
Смоленская область,4865,2667,71
Ставропольский край,5728,3660,106
Тамбовская область,5030,3359,19
Тверская область,3909,2966,86
Томская область,2661,1457,21
Тульская область,7182,5966,133
Тюменская область,3638,2202,18
Удмуртская Республика,1554,1210,17
Ульяновская область,6520,3680,49
Хабаровский край,4820,2280,33
Ханты-Мансийский автономный округ,10873,5695,75
Челябинская область,8127,4281,88
Чеченская Республика,1795,1220,25
Чукотский автономный округ,141,136,1
Ямало-Ненецкий автономный округ,6941,2689,47
Ярославская область,5069,3920,22
