date,total,covid+_deaths,total_deaths,admissions,discharges,deaths,covid_discharges,pneumonia,covid,covid_suspected,covid_pneumonia,covid_icu,total_icu,total_oxygen,covid_vent,total_vent,total_vent_ratio,total_icu_ratio
16.04.2020,83,,,39,0,,,81,0,,,,,,,,0.00,0.00
17.04.2020,162,,,79,2,,0,160,6,,,,,,,,0.00,0.00
18.04.2020,269,,,112,5,,,269,8,,,,,,,,0.00,0.00
19.04.2020,328,,,67,8,,,328,11,,,,,,,,0.00,0.00
20.04.2020,391,,,71,8,,,391,14,,,,,,,,0.00,0.00
21.04.2020,413,,,36,14,,,413,10,,,,,,,,0.00,0.00
22.04.2020,406,,,12,19,,,406,15,,,,,,,,0.00,0.00
23.04.2020,427,,,40,19,,7,427,8,,,,,,,,0.00,0.00
24.04.2020,412,,,11,26,,2,286,126,,,,,,,,0.00,0.00
25.04.2020,407,,,2,3,,,258,149,,,,,,,,0.00,0.00
26.04.2020,531,,,131,7,,3,384,147,,,,,,,,0.00,0.00
27.04.2020,567,,,82,46,,3,414,153,,,,,,,,0.00,0.00
28.04.2020,554,,,69,82,,18,419,135,,,,,,,,0.00,0.00
29.04.2020,572,,,75,57,,53,413,159,,,,,,,,0.00,0.00
30.04.2020,611,,,87,48,,7,448,163,,,,,,,,0.00,0.00
01.05.2020,610,,,69,70,,,444,168,,,,,,,,0.00,0.00
02.05.2020,623,,,78,65,,10,407,216,,,,,,,,0.00,0.00
03.05.2020,652,,,92,63,,12,420,232,,,,,,,,0.00,0.00
04.05.2020,698,,,82,36,,14,322,376,,,,,,,,0.00,0.00
05.05.2020,718,,,77,57,,,474,244,,,,,,,,0.00,0.00
06.05.2020,739,,,84,63,,14,490,249,,,,,,,,0.00,0.00
07.05.2020,733,,,78,84,,,477,258,,,,,,,,0.00,0.00
08.05.2020,682,,,45,96,,27,453,229,,,,,,,,0.00,0.00
09.05.2020,672,,,79,89,,,439,233,,,,,,,,0.00,0.00
10.05.2020,547,,,36,161,,,343,204,,,,,,,,0.00,0.00
11.05.2020,523,,,3,27,,,330,194,,,,,,,,0.00,0.00
12.05.2020,520,,,65,68,,38,317,203,,,,,,,,0.00,0.00
13.05.2020,467,,,9,62,,21,264,203,,,,,,,,0.00,0.00
14.05.2020,426,,,20,61,,,225,201,,,,,,,,,
15.05.2020,414,,,47,59,,,218,198,,,,,,,,,
16.05.2020,402,,,41,53,,,223,179,,,,,,,,,
17.05.2020,399,,,36,39,,,214,185,,,,,,,,,
18.05.2020,416,,,28,11,,,228,190,,,,,,,,,
19.05.2020,398,,,32,50,,22,210,188,,,,,,,,,
20.05.2020,366,,,20,52,,,184,182,,,,,,,,,
21.05.2020,344,,,20,42,,,187,157,,,,,,,,,
22.05.2020,326,,,20,38,,17,166,160,,,,,,,,,
23.05.2020,316,,,32,42,,,171,145,,,,,,,,,
24.05.2020,308,,,17,27,,,174,134,,,,,,,,,
25.05.2020,318,,,19,9,,,181,137,,,,,,,,,
26.05.2020,324,,,39,33,,13,189,135,,,,,,,,,
27.05.2020,343,,,75,56,,,199,144,,,,,,,,,
28.05.2020,347,,,48,44,,,203,144,,,,,,,,,
29.05.2020,347,,,45,45,,18,195,152,,,,,,,,,
