date,total,covid+_deaths,total_deaths,admissions,discharges,deaths,covid_discharges,pneumonia,covid,covid_suspected,covid_pneumonia,covid_icu,total_icu,total_oxygen,covid_vent,total_vent,total_vent_ratio,total_icu_ratio
21.04.2020,125,,,,,,,,10,,,,14,,,2,1.60,11.20
22.04.2020,244,,,120,,1,,,10,,,,22,,,4,1.64,9.02
23.04.2020,306,,,65,1,2,,,18,,,,30,,,4,1.31,9.80
24.04.2020,309,,,4,1,,,,24,,,,32,,,6,1.94,10.36
25.04.2020,304,,,7,12,,,,24,,,,30,,,6,1.97,9.87
26.04.2020,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!
27.04.2020,378,,,79,9,,,,46,,,,30,,,12,3.17,7.94
28.04.2020,385,,,51,44,,,,46,,,,31,,,13,3.38,8.05
29.04.2020,360,,,26,51,,,,50,,,,29,,,11,3.06,8.06
30.04.2020,328,,,12,44,,,,54,,,,28,,,11,3.35,8.54
01.05.2020,313,,,13,28,,,,97,,,,25,,,14,4.47,7.99
02.05.2020,285,,,15,43,,,,110,,,,24,,,11,3.86,8.42
03.05.2020,269,,,4,20,,,,110,,,,20,,,10,3.72,7.43
04.05.2020,282,,,24,11,,,,110,,,,22,,,10,3.55,7.80
05.05.2020,259,,,8,31,,,,98,,,,16,,,7,2.70,6.18
06.05.2020,237,,,16,38,,,,109,,,,15,,,7,2.95,6.33
07.05.2020,234,,,28,31,,,,105,,,,15,,,5,2.14,6.41
08.05.2020,223,,,26,37,,,,102,,,,16,,,3,1.35,7.17
