date,admissions,discharges,beds-total,beds-occupied,beds-free
20.04.2020,1445,917,15376,12185,3191
21.04.2020,1819,1016,15627,12867,2760
22.04.2020,1935,1104,16972,13724,3248
23.04.2020,1676,1107,18283,14295,3988
24.04.2020,1987,1258,19022,15039,3983
25.04.2020,1667,831,18651,15875,2776
26.04.2020,1457,583,19365,16749,2616
27.04.2020,1856,1438,22422,17167,5255
28.04.2020,1690,1524,21891,17333,4558
29.04.2020,1739,1512,22052,17560,4492
30.04.2020,1734,1629,22016,17665,4351
01.05.2020,1627,1165,22016,18127,3889
02.05.2020,1530,974,22191,18683,3508
03.05.2020,1623,951,22191,19355,2836
04.05.2020,1546,1421,22318,19480,2838
05.05.2020,1598,1467,22456,19611,2845
06.05.2020,1663,1976,22764,19298,3466
07.05.2020,1745,2086,22764,18957,3807
08.05.2020,1649,2161,22946,18445,4501
09.05.2020,1470,1186,23012,18729,4283
10.05.2020,1287,904,23012,19112,3900
11.05.2020,1365,1271,23012,19206,3806
12.05.2020,1459,1805,23012,18860,4152
13.05.2020,1380,1840,23012,18400,4612
14.05.2020,1346,1793,23347,17953,5394
15.05.2020,1209,1835,23347,17327,6020
16.05.2020,996,962,23347,17361,5986
17.05.2020,800,570,23347,17591,5756
18.05.2020,1041,1693,23347,16939,6408
19.05.2020,903,1817,23347,16025,7322
20.05.2020,881,1562,23596,15344,8252
21.05.2020,849,1407,23596,14786,8810
22.05.2020,888,1676,23628,13998,9630
23.05.2020,681,720,23596,13959,9637
24.05.2020,680,445,23596,14194,9402
25.05.2020,812,1447,23596,13559,10037
26.05.2020,867,1543,23596,12883,10713
27.05.2020,848,1345,23596,12386,11210
28.05.2020,786,1267,23596,11905,11691
29.05.2020,789,1481,23596,11213,12383
30.05.2020,757,617,23596,11353,12243
31.05.2020,588,397,23596,11544,12052
01.06.2020,832,1223,23596,11153,12443
02.06.2020,823,1366,17362,10610,6752
03.06.2020,865,1299,17362,10176,7186
04.06.2020,769,956,17362,9989,7373
05.06.2020,807,1207,17362,9589,7773
06.06.2020,630,640,17362,9579,7783
07.06.2020,548,328,17362,9799,7563
08.06.2020,727,1042,17362,9484,7878
09.06.2020,701,1063,17362,9122,8240
10.06.2020,680,974,17362,8828,8534
11.06.2020,634,1094,17315,8368,8947
12.06.2020,480,549,17315,8299,9016
13.06.2020,483,373,17315,8409,8906
14.06.2020,403,268,17315,8544,8771
15.06.2020,517,835,17315,8226,9089
16.06.2020,556,908,17315,7874,9441
17.06.2020,497,762,17315,7609,9706
18.06.2020,505,775,11785,7339,4446
19.06.2020,547,979,11785,6907,4878
20.06.2020,524,482,11785,6949,4836
21.06.2020,360,313,11785,6996,4789
22.06.2020,516,815,11785,6697,5088
23.06.2020,469,888,11595,6278,5317
24.06.2020,344,400,11595,6222,5373
25.06.2020,403,541,11595,6084,5511
26.06.2020,408,754,11595,5738,5857
27.06.2020,323,287,11595,5774,5821
28.06.2020,298,168,11595,5904,5691
29.06.2020,463,568,11595,5799,5796
30.06.2020,393,682,8607,5510,3097
01.07.2020,263,272,8607,5501,3106
02.07.2020,422,604,8607,5319,3288
03.07.2020,416,707,8607,5028,3579
04.07.2020,344,305,8607,5067,3540
05.07.2020,340,201,8607,5206,3401
06.07.2020,422,694,8607,4934,3673
07.07.2020,442,648,8607,4728,3879
08.07.2020,405,452,8592,4681,3911
