date,swabs_clean,swabs_derived_daily
24.02.2020,27350,
25.02.2020,30984,3634
26.02.2020,33050,2066
27.02.2020,,1621
28.02.2020,,1621
29.02.2020,,1621
01.03.2020,,1621
02.03.2020,,1621
03.03.2020,42776,1621
04.03.2020,46414,3638
05.03.2020,51366,4952
06.03.2020,55688,4322
07.03.2020,,2136
08.03.2020,59960,2136
09.03.2020,63191,3231
10.03.2020,70601,7410
11.03.2020,76963,6362
12.03.2020,,9307
13.03.2020,,9307
14.03.2020,104883,9307
15.03.2020,109939,5056
16.03.2020,116061,6122
17.03.2020,122854,6793
18.03.2020,133101,10247
19.03.2020,143519,10418
20.03.2020,156016,12497
21.03.2020,163529,7513
22.03.2020,165772,2243
23.03.2020,185918,20146
24.03.2020,192824,6906
25.03.2020,197251,4427
26.03.2020,223509,26258
27.03.2020,243377,19868
28.03.2020,263888,20511
29.03.2020,,62222
30.03.2020,,62222
31.03.2020,,62222
01.04.2020,,62222
02.04.2020,575000,62222
03.04.2020,639000,64000
04.04.2020,697000,58000
05.04.2020,758000,61000
06.04.2020,795000,37000
07.04.2020,910000,115000
08.04.2020,1000000,90000
09.04.2020,1092811,92811
10.04.2020,1184442,91631
11.04.2020,1278747,94305
12.04.2020,1359993,81246
13.04.2020,1426014,66021
14.04.2020,1517992,91978
15.04.2020,1613413,95421
16.04.2020,1718019,104606
17.04.2020,1831892,113873
18.04.2020,1949813,117921
19.04.2020,2053319,103506
20.04.2020,2142604,89285
21.04.2020,2252539,109935
22.04.2020,2401616,149077
23.04.2020,2552000,150384
24.04.2020,2721500,169500
25.04.2020,2877699,156199
26.04.2020,3019434,141735
27.04.2020,3139258,119824
28.04.2020,3303717,164459
29.04.2020,3498308,194591
30.04.2020,3723807,225499
